BASE_DATE,ADM_CD,ADM_NM
"20220630","11200520",노량진2동
"20220630","11200530",상도1동
"20220630","11200540",상도2동
"20220630","11200550",상도3동
"20220630","11200560",상도4동
"20220630","11200630",사당1동
"20220630","11200650",사당3동
"20220630","11200660",사당4동
"20220630","11200670",사당5동
"20220630","11200680",대방동
"20220630","11200690",신대방1동
"20220630","11200700",신대방2동
"20220630","11200710",흑석동
"20220630","11200720",노량진1동
"20220630","11200730",사당2동
"20220630","11210520",보라매동
"20220630","11210540",청림동
"20220630","11210570",행운동
"20220630","11210580",낙성대동
"20220630","11210610",중앙동
"20220630","11210620",인헌동
"20220630","11210630",남현동
"20220630","11210640",서원동
"20220630","11210650",신원동
"20220630","11210660",서림동
"20220630","11210680",신사동
"20220630","11210690",신림동
"20220630","11210710",난향동
"20220630","11210720",조원동
"20220630","11210730",대학동
"20220630","11210780",은천동
"20220630","11210790",성현동
"20220630","11210800",청룡동
"20220630","11210810",난곡동
"20220630","11210820",삼성동
"20220630","11210830",미성동
"20220630","11220510",서초1동
"20220630","11220520",서초2동
"20220630","11220530",서초3동
"20220630","11220540",서초4동
"20220630","11220550",잠원동
"20220630","11220560",반포본동
"20220630","11220570",반포1동
"20220630","11220580",반포2동
"20220630","11220590",반포3동
"20220630","11220600",반포4동
"20220630","11220610",방배본동
"20220630","11220620",방배1동
"20220630","11220630",방배2동
"20220630","11220640",방배3동
"20220630","11220650",방배4동
"20220630","11220660",양재1동
"20220630","11220670",양재2동
"20220630","11220680",내곡동
"20220630","11230510",신사동
"20220630","11230520",논현1동
"20220630","11230530",논현2동
"20220630","11230580",삼성1동
"20220630","11230590",삼성2동
"20220630","11230600",대치1동
"20220630","11230630",대치4동
"20220630","11230640",역삼1동
"20220630","11230650",역삼2동
"20220630","11230660",도곡1동
"20220630","11230670",도곡2동
"20220630","11230680",개포1동
"20220630","11230710",개포4동
"20220630","11230720",일원본동
"20220630","11230730",일원1동
"20220630","11230740",일원2동
"20220630","11230750",수서동
"20220630","11230760",세곡동
"20220630","11230770",압구정동
"20220630","11230780",청담동
"20220630","11230790",대치2동
"20220630","11230800",개포2동
"20220630","11240510",풍납1동
"20220630","11240520",풍납2동
"20220630","11240530",거여1동
"20220630","11240540",거여2동
"20220630","11240550",마천1동
"20220630","11240560",마천2동
"20220630","11240570",방이1동
"20220630","11240580",방이2동
"20220630","11240590",오륜동
"20220630","11240600",오금동
"20220630","11240610",송파1동
"20220630","11240620",송파2동
"20220630","11240630",석촌동
"20220630","11240640",삼전동
"20220630","11240650",가락본동
"20220630","11240660",가락1동
"20220630","11240670",가락2동
"20220630","11240680",문정1동
"20220630","11240690",문정2동
"20220630","11240710",잠실본동
"20220630","11240750",잠실4동
"20220630","11240770",잠실6동
"20220630","11240780",잠실7동
"20220630","11240790",잠실2동
"20220630","11240800",잠실3동
"20220630","11240810",장지동
"20220630","11240820",위례동
"20220630","11250530",명일1동
"20220630","11250540",명일2동
"20220630","11250550",고덕1동
"20220630","11250560",고덕2동
"20220630","11250580",암사2동
"20220630","11250590",암사3동
"20220630","11250610",천호1동
"20220630","11250630",천호3동
"20220630","11250650",성내1동
"20220630","11250660",성내2동
"20220630","11250670",성내3동
"20220630","11250700",둔촌1동
"20220630","11250710",둔촌2동
"20220630","11250720",암사1동
"20220630","11250730",천호2동
"20220630","11250740",길동
"20220630","11250750",강일동
"20220630","11250760",상일1동
"20220630","11250770",상일2동
"20220630","21010510",중앙동
"20220630","21010520",동광동
"20220630","21010530",대청동
"20220630","21010540",보수동
"20220630","21010560",부평동
"20220630","21010570",광복동
"20220630","21010580",남포동
"20220630","21010590",영주1동
"20220630","21010600",영주2동
"20220630","21020510",동대신1동
"20220630","21020520",동대신2동
"20220630","21020530",동대신3동
"20220630","21020540",서대신1동
"20220630","21020560",서대신3동
"20220630","21020570",서대신4동
"20220630","21020590",부민동
"20220630","21020610",아미동
"20220630","21020630",초장동
"20220630","21020640",충무동
"20220630","21020650",남부민1동
"20220630","21020680",암남동
"20220630","21020690",남부민2동
"20220630","21030510",초량1동
"20220630","21030520",초량2동
"20220630","21030530",초량3동
"20220630","21030550",초량6동
"20220630","21030560",수정1동
"20220630","21030570",수정2동
"20220630","21030590",수정4동
"20220630","21030600",수정5동
"20220630","21030660",범일2동
"20220630","21030680",범일5동
"20220630","21030700",좌천동
"20220630","21030710",범일1동
"20220630","21040530",남항동
"20220630","21040540",영선1동
"20220630","21040550",영선2동
"20220630","21040590",봉래1동
"20220630","21040630",청학1동
"20220630","21040640",청학2동
"20220630","21040650",동삼1동
"20220630","21040660",동삼2동
"20220630","21040670",동삼3동
"20220630","21040680",신선동
"20220630","21040690",봉래2동
"20220630","21050520",부전2동
"20220630","21050540",연지동
"20220630","21050550",초읍동
"20220630","21050560",양정1동
"20220630","21050570",양정2동
"20220630","21050610",전포2동
"20220630","21050640",부암1동
"20220630","21050660",부암3동
"20220630","21050680",당감2동
"20220630","21050700",당감4동
